1,"$10\,000 Gold?",Steigt Gold auf 10.000 Dollar?
37504,"Indeed\, surges of organized anger when China is attacked or insulted are hardly new.",Die Dynamik dieses zunehmenden Begehrens nach Rechten in China ist auch anhand der Berichterstattung über andere wichtige Ereignisse in den traditionellen Medien zu erkennen.
8,"Last December\, many gold bugs were arguing that the price was inevitably headed for $2\,000.","Im letzten Dezember argumentierten die Goldbugs\, dass der Preis zweifellos in Richtung 2.000 Dollar gehen würde."
25156,"But\, as many other well-meaning cities and countries have discovered\, cutting CO2 significantly is more difficult than it seems\, and may require quite a bit of creative accounting.","Um dieses Problem zu lösen\, musste Kopenhagen eine Stromerzeugungsstrategie konzipieren\, die es ermöglicht\, bei Bedarf Strom aus Kohlekraftwerken zu beziehen\, ohne damit Netto-Emissionen zu erzeugen."
9,"Now\, emboldened by continuing appreciation\, some are suggesting that gold could be headed even higher than that.","Beflügelt aufgrund des anhaltenden Aufwärtstrends\, meint man nun mancherorts\, dass Gold sogar noch höher steigen könnte."
12506,"The banking sector will still be “de-risking\,” limiting the flow of credit to small and medium-size companies and undermining hiring and investment in plant and equipment.","Der Bankensektor wird immer noch Risiken abbauen\, indem er den Fluss der Kredite an kleine und mittelgroße Unternehmen einschränkt\, was zu weniger Beschäftigung und geringeren Investitionen in Anlagen und Geräte führt."
12507,And the household sector will be only partly through its painful de-leveraging phase.,Und die Privathaushalte werden ihre schmerzhafte Entschuldungsphase nur teilweise vollendet haben.
25157,"More surprisingly\, Copenhagen’s politicians have confidently declared that cutting CO2 now will ultimately make the city and its citizens wealthier\, with today’s expensive green-energy investments more than paying off when fossil-fuel prices rise.","Der Plan der Stadt sieht vor\, im Großraum Kopenhagen und in den die Stadt umgebenden seichten Gewässern über 100 Windturbinen zu errichten."
12508,The policy front will be equally unsettling.,An der politischen Front gibt es ebenfalls Grund zur Unruhe.
10,"One successful gold investor recently explained to me that stock prices languished for a more than a decade before the Dow Jones index crossed the 1\,000 mark in the early 1980’s.","Ein erfolgreicher Gold-Investor erklärte mir vor kurzem\, dass die Aktienkurse über ein Jahrzehnt dahingedümpelt waren\, bevor der Dow Jones-Index in den frühen 1980er Jahren die Marke von 1.000 Punkten überschritt."
11,"Since then\, the index has climbed above 10\,000.",Seit damals ist er auf über 10.000 Punkte gestiegen.
12509,"Having dithered and bickered for too long\, the US Congress will find it increasingly difficult to postpone action on these challenges.",Der US-Kongress wird nach langen Streitigkeiten die Lösung dieser Probleme kaum weiter verschieben können.
25158,But how can deliberately limiting one’s options improve one’s prospects?,"Mit einer Gesamtleistung von 360 Megawatt\, die in das Netz eingespeist werden\, sollen diese Turbinen mehr Strom liefern als Kopenhagen benötigt. Dieser Überschuss kann verwendet werden\, um ihn mit den  verbleibenden CO2-Emissionen der Stadt – auch aus den Abgasen der Millionen nicht elektrischer Fahrzeuge - gegenzurechnen."
12,"Now that gold has crossed the magic $1\,000 barrier\, why can’t it increase ten-fold\, too?","Nun hat Gold die magische Grenze von 1.000 Dollar überschritten\, warum sollte sich sein Wert daher nicht auch verzehnfachen?  "
25159,These sound more like the arguments of green campaigners – and they are most likely wrong.,"Der Erfolg Kopenhagens hängt also davon ab\, dass die umgebenden Gebiete keine Klimaneutralität anstreben."
12510,"Meanwhile\, the Federal Reserve’s unusual activism\, including an ever-expanding list of experimental measures\, will yield fewer benefits and entail growing costs and risks.",Inzwischen wird der unübliche Aktivismus der Notenbank mit ihrer immer größeren Liste experimenteller Maßnahmen immer weniger hilfreich sein und zu wachsenden Kosten und Risiken führen.
13,"Admittedly\, getting to a much higher price for gold is not quite the leap of imagination that it seems.","Zugegeben: Es bedarf keiner großen Fantasie\, um sich einen noch höheren Goldpreis vorzustellen."
12511,The US economy will also be operating in a more difficult global environment.,Die US-Wirtschaft wird sich auch in einem immer schwierigeren weltweiten Umfeld bewegen.
14,"After adjusting for inflation\, today’s price is nowhere near the all-time high of January 1980.",Denn inflationsbereinigt erreicht der Goldpreis von heute nicht annähernd das Allzeithoch von Januar 1980.
25160,"The first challenge that Copenhagen faces in reaching its zero-emissions goal is the lack of cost-effective alternatives for some sources of CO2\, particularly automobiles.","Schließlich funktioniert die ganze Berechnung nur\, wenn die anderen weiter fossile Brennstoffe verwenden\, die durch Kopenhagens unkalkulierbare Windenergie ersetzt werden können."
12512,"In the next few months\, Europe’s debt crisis will most likely worsen.",Die Schuldenkrise Europas wird sich in den nächsten Monaten wahrscheinlich verschlimmern.
15,"Back then\, gold hit $850\, or well over $2\,000 in today’s dollars.","Damals lag Gold bei 850 Dollar\, also in heutigem Geldwert um einiges über 2.000 Dollar."
25161,Denmark already provides the world’s largest subsidy to electric cars by exempting them from its marginal 180% car-registration tax.,"So gesehen nimmt Kopenhagen die Chance\, sich moralisch gut zu fühlen\, für sich allein in Anspruch."
16,But January 1980 was arguably a “freak peak” during a period of heightened geo-political instability.,Allerdings gab es im Januar 1980 offensichtlich einen „Freak Peak“ in einer Zeit erhöhter geopolitischer Instabilität.
12513,"With emerging economies (including China) slowing\, and with meaningful multilateral policy coordination remaining inadequate\, protectionist pressures will mount as major trading powers compete for a stagnant pie.","Während sich das Wachstum in den Entwicklungsländern (einschließlich China) verlangsamt und die internationale politische Koordination weiterhin zu wünschen übrig lässt\, wird sich im Zuge des Wettbewerbs der Haupthandelsmächte um einen stagnierenden Gesamtmarkt der protektionistische Druck erhöhen."
17,"At $1\,300\, today’s price is probably more than double very long-term\, inflation-adjusted\, average gold prices.","Bei einem Wert von 1.300 Dollar ist der heutige Preis wohl doppelt so hoch wie die sehr langfristigen\, inflationsbereinigten Durchschnitts-Goldpreise."
25162,"For the most popular electric car\, the Nissan Leaf\, this exemption is worth $85\,000 (€63\,000).","Die  politischen Entscheidungsträger der Stadt versprechen\, dass diese Strategie in Richtung Klimaneutralität „ein insgesamt positives wirtschaftliches Bild bietet und zu ökonomischen Vorteilen für alle Kopenhagener führen wird“. Dies auf Grundlage erwarteter Preissteigerungen für konventionelle Energiequellen wie Kohle\, Öl und Gas in den kommenden Jahren."
18,So what could justify another huge increase in gold prices from here?,Was also könnte einen weiteren kolossalen Anstieg des Goldpreises von diesem Wert aus begründen?
19,"One answer\, of course\, is a complete collapse of the US dollar.",Eine Möglichkeit wäre natürlich der totale Zusammenbruch des US-Dollars.
25163,"Yet\, just 1\,536 of Denmark’s 2.7 million cars are electric.","Doch der häufig genannte Grund für  diese Annahme – dass die Menschheit diese knappen Ressourcen rasch verbraucht – steht nicht im Einklang mit den Fakten der realen Welt\, wo die Öl-\, Gas- und Kohlereserven in den letzten Jahren durch Innovationen auf ein beispielloses Ausmaß erweitert wurden."
12514,"So\, whether President Barack Obama or Mitt Romney prevails in November\, the next president will be constrained by the twin need for urgent economic stabilization and longer-term reforms.","Ob im November also Präsident Barack Obama oder Mitt Romney gewinnt: Der nächste Präsident wird dadurch eingeschränkt sein\, dass er sich gleichzeitig um die wirtschaftliche Stabilisierung und um längerfristige Reformen kümmern muss."
25164,There is also the challenge inherent in wind-generated electricity: ensuring that the city can continue to run when the wind is not blowing.,"Man denke an Kopenhagens Plan mit den Windturbinen\, die den größten Teil der Einsparungen bringen sollen."
20,"With soaring deficits\, and a rudderless fiscal policy\, one does wonder whether a populist administration might recklessly turn to the printing press.","Angesichts ausufernder Defizite und einer richtungslosen Fiskalpolitik fragt man sich\, ob eine populistische Administration nicht doch leichtsinnigerweise die Gelddruckmaschine anwerfen würde."
37505,"The reaction of China’s leaders to the America’s accidental attack on China’s embassy in Belgrade in 1998\, and to the collision of an American spy plane with a Chinese plane over the Pacific\, was to permit\, if not foment\, large anti-foreign demonstrations.","Bei der Berichterstattung beispielsweise über Naturkatastrophen\, schwere Industrieunfälle oder dringende Fragen der öffentlichen Gesundheit ist es Journalisten in den traditionellen Medien nicht gestattet\, ohne offizielle Genehmigung zu recherchieren und zu berichten."
12515,"And\, with headwinds from Europe and a synchronized global slowdown\, the candidates will have no choice but to pursue\, at least initially\, similar economic policies to restore dynamic job creation and financial stability.","Und mit Gegenwind aus Europa und einer allgemeinen globalen Verlangsamung werden die Kandidaten zumindest zu Beginn keine Wahl haben\, als zur Wiederbelebung des Arbeitsmarktes und der finanziellen Stabilität ähnliche Maßnahmen zu ergreifen."
21,"And if you are really worried about that\, gold might indeed be the most reliable hedge.","Und wer sich in dieser Hinsicht wirklich Sorgen macht\, könnte in Gold tatsächlich die verlässlichste Absicherung finden.  "
25165,"To address this problem\, Copenhagen has had to devise an electricity-generation strategy that enables it sometimes to run on coal-fired power when necessary\, without creating net emissions.",Die gesamten Bau- und Wartungskosten der Anlagen werden mit voraussichtlich 676 Millionen Euro beziffert.
37506,"In keeping with this syndrome\, Foreign Minister Li Zhaoxing has accused Japan of having “hurt the feelings of the Chinese people” by not apologizing for their crimes\, as if he were Minister of Psychology\, rather than foreign affairs.","Das Internet jedoch trägt dazu bei\, diese Regeln zu ändern."
22,"Sure\, some might argue that inflation-indexed bonds offer a better and more direct inflation hedge than gold.","Natürlich kann man einwenden\, dass inflationsindexierte Anleihen eine bessere und direktere Absicherung seien\, als Gold."
25166,The city’s plan is to build more than 100 wind turbines within the greater Copenhagen area and in the shallow waters around it.,"Selbst unter Annahme einer sehr hohen CO2-Steuer beläuft sich diese auf eher magere 104\,4 Millionen Euro\, was bedeutet\, dass der Projektwert  – 169\,8 Millionen Euro an Einsparungen – hauptsächlich aus den 765 Millionen Euro an eingesparten Stromzahlungen stammt. "
37507,"Of course\, China’s wounded psyche and the desire for restitution from its former tormentors deserve sympathy.","""Journalisten lernen inzwischen\, die Richtlinien durch Verbreiten und Sammeln von Informationen online zu umgehen\, was es den Propagandachefs erschwert\, die Verbreitung als \,\,sensibel\"" betrachteter Informationen zu unterbinden."""
23,But gold bugs are right to worry about whether the government will honor its commitments under more extreme circumstances.,"Aber die Goldbugs machen sich zu Recht Sorgen\, ob die Regierung ein derartiges Engagement unter extremeren Umständen würdigte."
12516,"In striking the right balance between immediate economic stimulus and medium-term fiscal sustainability\, the most urgent step will be to counter properly the looming fiscal cliff\, as temporary tax cuts expire and deep\, across-the-board spending reductions kick in automatically.","Der wichtigste Schritt\, um die Balance zwischen sofortiger wirtschaftlicher Stimulation und mittelfristiger Haushaltsstabilität zu finden\, besteht darin\, die drohende Haushaltsklippe auszugleichen\, während temporäre Steuersenkungen auslaufen und automatisch umfassende und weitreichende Ausgabenreduzierungen in Kraft treten."
12517,Failure to do so would significantly increase the risk of an outright American recession.,"Sollte dies nicht gelingen\, würde sich das Risiko erhöhen\, dass die USA in eine waschechte Rezession geraten."
37508,"In this sense\, China\, like many countries\, could be said to have something of a bi-polar personality.","Auch normale Internetnutzer können über von Ihnen erlebte Ereignisse schreiben und ihre Berichte online verbreiten\, was die Unterdrückung wichtiger aktueller Nachrichten nahezu unmöglich macht."
12518,Serious medium-term budget reforms are needed to deal with the legacy of repeated congressional failures.,"Um die wiederholten Fehler des Kongresses wieder gut zu machen\, sind ernsthafte mittelfristige Haushaltsreformen nötig."
25167,"With a combined output of 360 megawatts\, which will feed electricity into the grid\, these turbines will more than cover Copenhagen’s electricity needs – and the surplus can be used to offset the city’s remaining CO2 emissions\, including from the city’s millions of non-electric cars.","Das klingt zwar eindrucksvoll\, doch diese Werte ergeben sich nur\, wenn der Preis für Strom aus fossilen Brennstoffen bis 2030 massiv um 68 Prozent ansteigt.  Und nicht nur Kopenhagen geht von solchen Annahmen aus; auch das britische Ministerium für Energie und Klimawandel rechnet mit einer Preissteigerung von 51 Prozent bis 2030 ."
24,"In fact\, as Carmen Reinhart and I discuss in our recent book on the history of financial crises\, This Time is Different\, cash-strapped governments will often forcibly convert indexed debt to non-indexed debt\, precisely so that its value might be inflated away.","Wie Carmen Reinhart und ich in unserem jüngsten Buch über die Geschichte von Finanzkrisen Dieses Mal ist alles anders\, zeigen\, konvertieren Pleiteregierungen diese indexierten Anleihen oftmals zwangsweise in nicht indexierte\, auf dass sich ihr Wert weginflationiere."
25168,Copenhagen’s success thus depends on the surrounding areas not aiming for CO2 neutrality.,Diese Prognosen sind wahrscheinlich unrealistisch.
37509,"Much of the emotional force of Mao’s revolution derived from the widespread sense of unequal treatment and humiliation by foreign powers\, and this revolutionary fervor has never been properly interred.","""Darüber hinaus ist es für die Behörden nicht leicht\, die Verbreiter solcher \,\,subversiven Informationen\"" - ein von staatlicher Seite zur Unterdrückung abweichender politischer Meinungen häufig verwendeter Begriff - online aufzuspüren und zu bestrafen."""
25,Even the United States abrogated indexation clauses in bond contracts during the Great Depression of the 1930’s. So it can happen anywhere.,Sogar in den Vereinigten Staaten wurden während der Großen Depression der 1930er Jahre die Indexklauseln aus Anleiheverträgen gestrichen.  Das kann also überall passieren.
12519,"And\, if provided with realistic numbers\, the next president will soon recognize that the right mix of tax and spending reforms falls into a much narrower range than today’s competing political narratives suggest.","Und wenn der nächste Präsident realistische Zahlen präsentiert bekommt\, wird er bald feststellen\, dass er für den richtigen Mix von Steuer- und Ausgabenreformen viel weniger Spielraum hat\, als die jetzigen politischen Aussagen suggerieren."
25169,"After all\, the whole accounting exercise works only if others are still using fossil fuels that Copenhagen’s unpredictable wind power can replace.","Man werfe einen Blick auf die langfristigen Preistrends für Kohle und Gas\, mit denen der  überwiegende Teil der weltweiten Stromerzeugung bestritten wird."
12520,It is certainly not an either/or proposition.,Sicherlich wird es kein Fall von entweder/oder sein.
12521,Fiscal reforms work best in a dynamic economy.,"Haushaltsreformen funktionieren am besten\, wenn die Wirtschaft dynamisch ist."
25170,"In this sense\, Copenhagen is hogging the chance to feel righteous.",Trotz eines Preisanstiegs in letzter Zeit weisen die realen Preise für Kohle seit den 1950er Jahre einen Abwärtstrend auf.  
26,"Even so\, the fact that very high inflation is possible does not make it probable\, so one should be cautious in arguing that higher gold prices are being driven by inflation expectations.","Aber selbst wenn eine sehr hohe Inflation möglich ist\, heißt das noch lange nicht\, dass sie auch wahrscheinlich ist. Man sollte daher mit der Argumentation vorsichtig sein\, wonach höhere Goldpreise von Inflationserwartungen angetrieben seien."
37510,"Just as Mao’s portrait has never been taken down from The Gate of Heavenly Peace\, so whole elements of his revolution continue to survive in China’s institutions\, ways of thinking\, and modes of interacting with the world.","Da chinesische Internetnutzer heutzutage mit größerer Wahrscheinlichkeit in Echtzeit von aktuellen Meldungen erfahren und hinterfragen\, warum die offizielle Presse nicht darüber berichtet\, spüren die konventionellen Medien in China jetzt den Druck der Öffentlichkeit\, über Ereignisse zu berichten\, die sie unter anderen Umständen unerwähnt lassen würden."
12522,"To this end\, Obama and Romney will need to lift the impediments to growth and job creation.","Um dies zu erreichen\, müssen Obama und Romney die Hindernisse beseitigen\, die dem Wachstum und der Schaffung von Arbeitsplätzen entgegen stehen."
37511,"Like recessive genes\, they sometimes suddenly re-express themselves.",Die Onlinediskussion aktueller Ereignisse insbesondere auf Internet-Bulletinboards ist ein weiteres neues Phänomen.
27,Some have argued instead that gold’s long upward march has been partly driven by the development of new financial instruments that make it easier to trade and speculate in gold.,"Mancherorts heißt es auch\, der lange Aufwärtstrend des Goldes wäre teilweise durch die Entwicklung neuer Finanzinstrumente bedingt\, die den Handel und die Spekulation mit Gold erleichterten."
12523,"Here again – in areas like housing\, the labor market\, credit intermediation\, and infrastructure – there is less room for maneuver than most politicians would like us to believe.","Auch hier – in Bereichen wie Wohnen\, Arbeitsmarkt\, Kreditvermittlung und Infrastruktur – ist weniger Platz zum Manövrieren\, als uns die meisten Politiker heute erzählen wollen."
28,There is probably some slight truth – and also a certain degree of irony – to this argument.,Darin liegt möglicherweise ein Körnchen Wahrheit – und ein gewisses Maß an Ironie.
12524,But this does not mean that there is no scope for differences.,"Aber dies bedeutet nicht\, dass es keinen Spielraum für Unterschiede gibt."
37512,"The role of victim is all too familiar to the Chinese\, perhaps even somewhat comforting\, for it provides a way to explain (and explain away) China’s problems.","Eine kürzlich durchgeführte Untersuchung zeigt\, dass die Zahl der bei Chinas zehn beliebtesten - sich auf Nachrichten und das politische Geschehen konzentrierenden - Bulletinboards angemeldeten Internetnutzer zwischen 100.000 und 500.000 beträgt."
25171,"The city’s political leaders promise that this strategy for attaining carbon neutrality “provides an overall positive economic picture and will lead to economic benefits for Copenhageners” based on the expectation that prices for conventional energy sources like coal\, oil\, and gas will rise in the coming years.","In den Vereinigten Staaten hat die auf Grundlage der Entwicklung der hydraulischen Frakturierung ( „Fracking“) ermöglichte  Schiefergasrevolution zu den tiefsten Preisen seit der Ölkrise der 1970er geführt\, als das Erdgas an Bedeutung gewann.  Da viele weitere Länder im nächsten Jahrzehnt ihre Schiefergasreserven erschließen wollen\, wird dieser Abwärtstrend sehr wahrscheinlich anhalten und dazu beitragen\, die Kosten der Stromerzeugung noch weiter zu verringern."
29,"After all\, medieval alchemists engaged in what we now consider an absurd search for ways to transform base metals into gold.","Denn schon die mittelalterlichen Alchemisten beschäftigten sich mit der aus heutiger Sicht absurden Suche nach einer Möglichkeit\, aus unedlen Metallen Gold zu machen."
12525,"There is\, and they reflect the fact that general economic tendencies will be accompanied by multi-speed dynamics at many levels.","Es gibt sie\, und zwar aufgrund der Tatsache\, dass die allgemeinen wirtschaftlichen Tendenzen auf vielen Ebenen von Dynamiken unterschiedlicher Geschwindigkeit begleitet werden."
37513,"But it is also dangerous\, because it derives from China’s old weaknesses rather than its new strengths.","""Hauptsächlich durch Bulletinboards\, E-Mail-Verteilerdienste und eine im Entstehen begriffene \,\,Weblog\""-Community hat das Internet begonnen\", eine alternative Form der Öffentlichkeit zu bieten\," wie es sie noch vor ein paar Jahren in China nicht gab."""
30,"Wouldn’t it be paradoxical\, then\, if financial alchemy could make an ingot of gold worth dramatically more?","Wäre es nicht paradox\, wenn es der Finanz-Alchemie gelänge\, den Wert eines Goldbarrens dramatisch steigen zu lassen?"
25172,"But the often-heard justification for this assumption – that humanity is rapidly depleting these scarce resources – is inconsistent with real-world events\, as innovation has effectively expanded oil\, gas\, and coal reserves to unprecedented levels in recent years.",Aus diesem Grund hat das britische Energieforschungsunternehmen Aurora Energy Research kürzlich einen drastischen Rückgang der Strompreise in den nächsten drei Jahrzehnten prognostiziert.
37514,"The era of Japanese militaristic and imperialist power has long gone\, and the world is beating a path to China’s door.",Aufgrund der staatlichen Zensur sind die meisten Diskussionen auf politisch genehme Themen wie etwa die Rechtsreform und den Kampf gegen die Korruption beschränkt.
25173,"Consider Copenhagen’s wind-turbine plan\, the single largest expected source of savings.","Die Fracking-Technologie hat es den USA überdies ermöglicht\, ihre reichen Schieferölreserven zu erschließen\, wodurch sie zum weltgrößten Erdölproduzenten\, noch vor Saudi Arabien\, aufsteigen."
31,"In my view\, the most powerful argument to justify today’s high price of gold is the dramatic emergence of Asia\, Latin America\, and the Middle East into the global economy.","Meiner Ansicht nach ist der stärkste Grund für den heutigen hohen Goldpreis der dramatische Aufstieg Asiens\, Lateinamerikas und des Mittleren Ostens in die Weltwirtschaft."
12526,"From persistent differences in unemployment rates depending on skills and education to record-high income and wealth inequalities\, each economic decision will be accompanied by the need for social judgment – whether explicit or\, more likely\, implicit – regarding its distributional impact.",Von den bestehenden Unterschieden bei den Arbeitslosenzahlen je nach Fähigkeiten und Ausbildung bis hin zu rekordverdächtigen Ungleichheiten bei Einkommen und Wohlstand: Jede wirtschaftliche Entscheidung wird von der – expliziten oder wahrscheinlich eher impliziten – Notwendigkeit der sozialen Bewertung ihrer Auswirkungen auf die Verteilung begleitet.
37515,The last thing the country needs is to remain trapped in the past.,"Innerhalb dieser Grenzen jedoch hat ein durch das Internet ermöglichter Aktivismus - etwa in Form von Onlinepetitionen - nicht allein die Grenzen traditioneller Medienberichterstattung erweitert\, sondern darüber hinaus einige interessante neue politische Konsequenzen vorgezeichnet."
32,"As legions of new consumers gain purchasing power\, demand inevitably rises\, driving up the price of scarce commodities.","Legionen neuer Verbraucher gewinnen an Kaufkraft und damit steigt zwangsläufig die Nachfrage\, wodurch der Preis für knappe Güter steigt."
25174,The total cost of construction and maintenance is projected to be $919 million.,"Citigroup schätzt\, dass Öl im Jahr 2020 lediglich 75 Dollar pro Fass kosten wird\, wobei der ehemalige Leiter der Abteilung für internationale Prognosen bei der OECD andeutet\, dass  dieser Wert näher bei 50 Dollar liegen könnte."
37516,China\\u0027s Virtual Revolution,"""Als beispielsweise der Student Sun Zhigang in der Stadt Guangzhou im Süden Chinas von Polizisten zu Tode geprügelt wurde\, löste dies einen Sturm von Onlineaufrufen nach \,\,weiquan\"" aus und provozierte Debatten über das so genannte \",\,"Gewahrsam- und Rückführungssystem\""."""
25175,"Even assuming a very large carbon tax\, this amounts to a rather paltry $142 million\, meaning that the project’s value – $261 million in savings – stems largely from the $1.04 billion saved on electricity payments.","Für die Klimabürokraten in Großbritannien und Kopenhagen sind das unerfreuliche Nachrichten\, weil sie den Reiz sauberer Energien verringern."
12527,"After an “age” of excessive leverage\, debt creation\, and credit entitlement that culminated in the 2008 global financial crisis\, America still faces the tricky challenge of allocating cumulative losses that continuously inhibit investment\, jobs\, and competitiveness.","Nach einem “Zeitalter” exzessiver Fremdkapitalaufnahme\, Schuldenfinanzierung und Kreditansprüche\, die 2008 zur weltweiten Finanzkrise führten\, stehen die USA immer noch vor der schwierigen Herausforderung\, die aufgelaufenen Verluste zu verteilen\, die weiterhin den Investitionen\, der Schaffung von Arbeitsplätzen und der Wettbewerbsfähigkeit im Wege stehen."
37517,"After eight years of explosive growth\, there are now almost as many internet users in China as there are members of the 70-million-strong Communist Party.","""Diese Form von \,\,Verwaltungshaft\""\", die im Wesentlichen gegen Wanderarbeiter eingesetzt wird\," war die Grundlage für Suns Internierung."""
33,"At the same time\, emerging-market central banks need to accumulate gold reserves\, which they still hold in far lower proportion than do rich-country central banks. With the euro looking less appetizing as a diversification play away from the dollar\, gold’s appeal has naturally grown.","Zugleich müssen die Zentralbanken der Schwellenmärkte Goldreserven anlegen\, die sie allerdings noch immer in viel geringerem Ausmaß halten\, als die Zentralbanken reicher Länder.  Nachdem der Euro als Möglichkeit der Diversifizierung des Dollar-Portefeuilles wenig einladend wirkt\, steigt natürlich der Reiz des Goldes.  "
25176,"While that sounds impressive\, it depends on a massive 68% increase in the price of fossil-fuel-produced electricity by 2030. And Copenhagen is not alone in making such assumptions; the United Kingdom’s Department of Energy & Climate Change estimates a 51% price increase by 2030.","Selbst wenn der Preis für Strom aus fossilen Energieträgern konstant bleibt\, werden sich Kopenhagens Windkraftanlagen netto zu einem Verlustgeschäft entwickeln."
12528,"Until now\, Congress’s excessive political polarization has translated into an approach that has pushed more of the burden of adjustment onto those who are less able to bear it.","Bis jetzt hat die exzessive politische Polarisierung im Kongress zu einem Ansatz geführt\, der den größten Teil der Anpassungslasten auf diejenigen abwälzt\, die ihn am wenigsten tragen können."
37518,"""Chinas \""information elite\","\"" the largely urban\", educated\, professionals who are Chinas internet surfers\," are becoming a force of equal size to the ruling political power base.""","Die sich hieran anschließenden Onlineproteste spielten ohne Zweifel eine Rolle bei der Entscheidung der Regierung\, das System abzuschaffen und die in den Fall verwickelten Staatsdiener zu verhaften."
